afTimesInSeconds	afPressures1	afPressures2	afPressures3	afPressures4	afPressures5	afPressures6	afPressures7	afPressures8	afAveragePressure	abActiveZones
15.581	0.000	-7.000	-8.000	-6.000	-5.000	-2.000	0.000	-2.000	-4.271	0.000
15.702	0.000	-7.000	-8.000	-6.000	-6.000	-2.000	1.000	0.000	-4.022	0.000
15.817	0.000	-7.000	-8.000	-6.000	-6.000	-1.000	2.000	1.000	-3.605	0.000
15.941	0.000	-7.000	-7.000	-6.000	-6.000	-1.000	2.000	2.000	-3.307	0.000
16.058	0.000	-7.000	-7.000	-6.000	-6.000	-1.000	2.000	2.000	-3.307	0.000
16.175	0.000	-7.000	-7.000	-6.000	-6.000	-2.000	2.000	2.000	-3.450	0.000
16.299	0.000	-7.000	-7.000	-7.000	-7.000	-2.000	1.000	2.000	-3.881	0.000
16.419	0.000	-6.000	-7.000	-6.000	-6.000	-1.000	1.000	2.000	-3.332	0.000
16.539	0.000	-5.000	-6.000	-5.000	-5.000	-1.000	1.000	1.000	-2.892	0.000
16.658	0.000	-4.000	-5.000	-4.000	-4.000	-1.000	0.000	1.000	-2.463	0.000
16.778	0.000	-3.000	-4.000	-3.000	-3.000	0.000	0.000	0.000	-1.880	0.000
16.901	0.000	-3.000	-4.000	-3.000	-3.000	0.000	1.000	1.000	-1.606	0.000
17.022	0.000	-2.000	-3.000	-2.000	-3.000	1.000	1.000	1.000	-1.048	0.000
17.140	0.000	-1.000	-2.000	-2.000	-2.000	1.000	1.000	1.000	-0.609	0.000
17.259	0.000	-1.000	-2.000	-2.000	-3.000	0.000	1.000	1.000	-0.908	0.000
17.379	0.000	-1.000	-2.000	-2.000	-3.000	0.000	0.000	1.000	-1.051	0.000
17.497	0.000	-2.000	-3.000	-2.000	-3.000	0.000	-1.000	1.000	-1.476	0.000
17.622	0.000	-2.000	-3.000	-2.000	-3.000	-1.000	-1.000	0.000	-1.751	0.000
17.740	0.000	0.000	-2.000	-2.000	-3.000	-1.000	-2.000	0.000	-1.493	0.000
17.857	0.000	0.000	-1.000	-1.000	-2.000	0.000	-1.000	0.000	-0.753	0.000
17.977	0.000	0.000	-1.000	-1.000	-2.000	0.000	-1.000	1.000	-0.622	0.000
18.101	0.000	-1.000	-1.000	-1.000	-2.000	0.000	-1.000	1.000	-0.739	0.000
18.222	0.000	-1.000	-2.000	-1.000	-1.000	2.000	1.000	0.000	-0.309	0.000
18.340	0.000	-2.000	-2.000	-1.000	0.000	3.000	2.000	-1.000	-0.116	0.000
18.457	0.000	-2.000	-3.000	-1.000	-1.000	2.000	1.000	-1.000	-0.724	0.000
18.579	0.000	-2.000	-3.000	-2.000	-2.000	2.000	1.000	-1.000	-1.012	0.000
18.700	0.000	-2.000	-3.000	-2.000	-2.000	1.000	0.000	0.000	-1.166	0.000
18.818	0.000	-1.000	-2.000	-2.000	-2.000	1.000	0.000	0.000	-0.883	0.000
18.942	0.000	-1.000	-2.000	-1.000	-2.000	1.000	0.000	0.000	-0.751	0.000
19.060	0.000	-1.000	-2.000	-1.000	-1.000	1.000	0.000	0.000	-0.594	0.000
19.179	0.000	-1.000	-2.000	-1.000	-2.000	1.000	0.000	0.000	-0.751	0.000
19.303	0.000	-1.000	-2.000	-1.000	-1.000	1.000	0.000	0.000	-0.594	0.000
19.418	0.000	-1.000	-2.000	-1.000	-2.000	1.000	0.000	0.000	-0.751	0.000
19.537	0.000	-1.000	-2.000	-1.000	-2.000	1.000	0.000	0.000	-0.751	0.000
19.659	0.000	-1.000	-2.000	-2.000	-2.000	0.000	-1.000	0.000	-1.168	0.000
19.776	0.000	-2.000	-3.000	-2.000	-2.000	0.000	-1.000	0.000	-1.451	0.000
19.897	0.000	-2.000	-3.000	-2.000	-3.000	0.000	-1.000	0.000	-1.608	0.000
20.018	0.000	-2.000	-3.000	-2.000	-3.000	0.000	-1.000	0.000	-1.608	0.000
20.140	0.000	-2.000	-3.000	-2.000	-3.000	0.000	-1.000	0.000	-1.608	0.000
20.257	0.000	-2.000	-3.000	-2.000	-3.000	0.000	-1.000	0.000	-1.608	0.000
20.380	0.000	-2.000	-3.000	-2.000	-3.000	0.000	-1.000	0.000	-1.608	0.000
20.500	0.000	-1.000	-3.000	-2.000	-2.000	0.000	-1.000	0.000	-1.334	0.000
20.618	0.000	-1.000	-2.000	-2.000	-2.000	0.000	-1.000	1.000	-1.037	0.000
20.739	0.000	-1.000	-2.000	-2.000	-2.000	0.000	-1.000	1.000	-1.037	0.000
20.856	0.000	-1.000	-2.000	-2.000	-2.000	0.000	-1.000	1.000	-1.037	0.000
20.982	0.000	-1.000	-2.000	-2.000	-2.000	0.000	-1.000	0.000	-1.168	0.000
21.099	0.000	-1.000	-2.000	-2.000	-2.000	0.000	-1.000	0.000	-1.168	0.000
21.221	0.000	-1.000	-2.000	-1.000	-2.000	0.000	-1.000	0.000	-1.036	0.000
21.338	0.000	0.000	-1.000	-1.000	-2.000	1.000	-1.000	0.000	-0.610	0.000
21.458	0.000	0.000	-1.000	-1.000	-1.000	1.000	0.000	0.000	-0.311	0.000
21.580	0.000	0.000	0.000	1.000	2.000	6.000	0.000	0.000	1.303	0.000
21.695	0.000	1.000	0.000	5.000	6.000	11.000	7.000	-1.000	4.155	1.000
